"userid","userenabled","title","district","facility","value","occupation","phone_present","biography_present"
2001,1,"","","","","",t,t
2002,1,"Administrator","","","","",t,t
2003,0,"","","","","",t,t
2004,0,"","","","","",t,t
2005,1,"Lead Community Manager","1","101","Other (including Contractor)","tractor",t,f
2006,0,"","","","","",t,t
2007,0,"Community Manager","","","","",t,t
2008,1,"","","","","",t,t
2009,1,"Community Manager","1","101","Other (including Contractor)","tractor",t,t
2010,0,"","","","","",t,t
2011,0,"","","","","",t,t
2012,0,"","","","","",t,t
2013,0,"","","","","",t,t
2014,1,"Vice President","1","101","","",f,f
2015,0,"","","","","",t,t
2016,0,"","","","","",t,t
2017,0,"","","","","",t,t
2018,0,"","","","","",t,t
2019,0,"","","","","",t,t
2020,0,"","","","","",t,f
2021,1,"","","","","",t,t
2022,1,"RN Portfolio Specialist","1","101","VHA – RN: Level IV (AES 24)","AES 24",t,f
2023,1,"","","","","",f,f
2024,1,"","","","","",f,t
2025,0,"","","","","",t,t
2027,1,"Veteran Choice Manager","4","741","VBA – Program Manager (AES 355)","AES 355",f,f
2028,0,"","","","","",t,t
2029,1,"","","","","",f,f
2030,1,"","","","","",t,t
2031,1,"","","","","",f,t
2032,0,"","","","","",t,t
2034,1,"","","","","",t,f
2035,0,"","","","","",t,t
2037,1,"","","","","",t,t
2038,1,"Assoicate Chief Consultant for Preventive Medicine","1","101","","",f,t
2039,1,"","","","","",t,t
2040,1,"Program Manager","1","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
2041,1,"National Program Manager for Health Behavior","","","","",f,f
2042,1,"eHMP Ambassador","","","","",f,t
2043,1,"","","","","",t,t
2044,1,"","","","","",t,t
2045,1,"","","","","",t,t
2046,1,"","","","","",t,t
2047,0,"","","","","",t,t
2048,1,"","","","","",t,t
2049,0,"PBM Program Manager, Clinical Pharmacy Practice Policy and Standards","2","101","","",f,t
2050,1,"","","","","",t,t
2051,1,"","","","","",t,t
2052,0,"","","","","",t,f
